id_articulo,titulo,autores,afiliaciones,palabras_clave,tematica
5895.+IA+generativa+en+la+Docencia,Inteligencia artificial generativa: capacidades de Llama-3.1-70B-Instruct en las asignaturas Bioquímica y Metabolismo y nutrición,Carlos Javier Pérez Perez|Felicia Pérez Moya|Ángela Rosa Herrera Trocones,"Universidad de Ciencias Médicas de Sancti Spíritus, Facultad de Ciencias Médicas ""Dr. Faustino Pérez Hernández"". Sancti Spíritus, Cuba",,Capacidades de IA generativa en Bioquímica y Metabolismo
Art01-Vol24,CARACTERIZACIÓN DE LA DEPENDENCIA DE EXISTENCIA EN INTERRELACIONES BINARIAS,Carlos García|Abel Rodríguez|Norma Cabrera|Luisa González,"Departamento de Ciencia de la Computación, Universidad Central de Las Villas, Cuba",dependencia de existencia|diseño de bases de datos|entidades débiles|interrelaciones débiles|modelación de datos,Análisis de dependencia de existencia en asociaciones
Art02-Vol24,APLICACIÓN DE LAS FRACCIONES CONTINUAS GENERALIZADAS Y LA CONEXIÓN CON LOS POLINOMIOS ORTOGONALES GENERALES EN ECUACIONES DE TIPO TODA,Andrés Gago Alonso|Luís Santiago Moreno|Luís Ramiro Piñeiro,CENATAV|Universidad de Toronto|Universidad de la Habana,,Ecuaciones de Toda y polinomios ortogonales
Art03-Vol24,UNA METODOLOGÍA PARA LA INTERPRETACIÓN CUANTITATIVA DE LA CINEMÁTICA DEL CICLO DE MARCHA,Cacoq Junot|Carlos Díaz Novo|Larisa Zamora Matamoros,Universidad de Oriente|Centro de Biofísica Medica,Bootstrap|Banda de Predicción|Banda Confidencial|Cinemática|Ciclo de marcha,Análisis cuantitativo de la cinemática del ciclo de marcha
Art04-Vol24,DETERMINACIÓN DE LAS CAUSAS DE LA DEGRADACIÓN DEL SUELO A TRAVÉS DEL ANÁLISIS DE CORRESPONDENCIAS SIMPLE Y DE REGRESIÓN LOGÍSTICA BINARIA,José Víctor Tamariz Flores|Gladys Linares Fleites|Jesús A. Ruiz Careaga|Jenaro Reyes M.|Otilio Acevedo S.,Postgrado de Ciencias Ambientales- ICUAP|Departamento de Investigación en Ciencias Agrícolas.Instituto de CienciasBenemérita Universidad Autónoma de Puebla|Universidad Autónoma del Estado de Hidalgo,análisis de correspondencias|erosión de suelo|regresión logística,Análisis de degradación de suelos
Art05-Vol24,"ANALISIS DISCRIMINANTE LINEAL EN EL ESTUDIO DE LA CALIDAD DE LOS SUELOS DE LA SIERRA NORTE DE PUEBLA, MEXICO.",M.G. Tenorio Arvide|M.A. Valera Pérez|G. Linares Fleites|O. A Acevedo Sandoval|J.B. Dixon,"Postgrado en Ciencias Ambientales, ICUAP, B. Universidad Autónoma de Puebla, México.|Dpto. de Investigaciones en Ciencias Agrícolas. B. Universidad Autónoma de Puebla, México.|Universidad Autónoma de Hidalgo.|Texas A&M University, College Station, Texas. USA.",Andisoles|Calidad Inherente|Calidad Dinámica|Función Discriminante,Análisis de calidad de suelos en Sierra Norte de Puebla
Art06-Vol24,Anillos de Schur y módulos -globalmente simples,Pedro Domínguez Wade|Jesús Barreto Molina,"Universidad de Matanzas|Universidad Pedagógica de Villa Clara, Cuba",,Anillos de Schur y módulos globalmente simples
Art07-Vol24,LA COMPRENSIÓN DESDE LA PERSPECTIVA DE LA EDUCACIÓN MATEMÁTICA,Aida María Torres Alfonso|Dámasa Martínez Martínez,Facultad de Matemática Física y Computación|Universidad Central de Las Villas,comprensión matemática|modelos|situaciones didácticas,Comprensión matemática en educación
Art08-Vol24,UNA RECOMENDACIÓN PARA LA DEMOSTRACIÓN DE LA INDEPENDENCIA DE LA MEDIA Y LA VARIANZA MUESTRALES,E. Menéndez|J. Villagómez|M. A. Herrera,Dpto. Matemática Aplicada. Facultad de Matemática y Computación. Universidad de La Habana. Cuba|Unidad Académica Facultad de Matemática. Sede Acapulco. Universidad Autónoma de Guerrero. México,distribución t-Student|independencia|media muestral|varianza muestral,Independencia de la media y varianza muestrales en distribución Normal
Art09-Vol24,MULTILEVEL MODEL FOR A SAMPLE OF CONTINGENCY TABLES: A SIMULATION STUDY,Minerva Montero1|Ernestina Castell2|Mario M. Ojeda3,"Instituto de Cibernética, Matemática y Física, La Habana, Cuba|Universidad de La Habana, La Habana, Cuba|Universidad Veracruzana, Xalapa, México",tablas de contingencia|modelos multinivel|enfoque GSK,Análisis de tablas de contingencia con modelos multinivel
